Release,Technique,ModuleName,DoT
v4,CC,CategoryDAO,0.34133
v4,CC,CategoryFilter,0.53333
v4,CC,Column,0.53333
v4,CC,Controller,0.7943
v4,CC,DateFormat,0.53333
v4,CC,DatePickerDialogFragment,0.53333
v4,CC,DBConstants,0.8125
v4,CC,DBException,0.53333
v4,CC,DBFactory,0.60408
v4,CC,DBHelper,0.61639
v4,CC,DBInvalidEntityException,0.53333
v4,CC,DBTypes,0.53333
v4,CC,DefaultCategoryDAO,0.38163
v4,CC,DefaultDBFactory,0.71062
v4,CC,DefaultReminderDAO,0.78792
v4,CC,EditCategoryDialogFragment,0.0
v4,CC,EditReminderActivity,0.74994
v4,CC,Entity,0.53333
v4,CC,ExternalAddReminderActivity,0.71895
v4,CC,FilterListFragment,0.54284
v4,CC,FiltersListChangeListener,0.53333
v4,CC,ForeignKey,0.53333
v4,CC,GenericDAO,0.55756
v4,CC,InvalidDateException,0.53333
v4,CC,InvalidDaysException,0.0
v4,CC,InvalidFormatException,0.53333
v4,CC,InvalidHourException,0.53333
v4,CC,InvalidTextException,0.53333
v4,CC,Mask,0.53333
v4,CC,Patterns,0.66395
v4,CC,Priority,0.0
v4,CC,PriorityFilter,0.0
v4,CC,Reminder,0.77755
v4,CC,ReminderActivity,0.85326
v4,CC,ReminderAddActivity,0.68048
v4,CC,ReminderArrayAdapter,0.80234
v4,CC,ReminderContentProvider,0.74191
v4,CC,ReminderDAO,0.74371
v4,CC,ReminderFilter,0.74878
v4,CC,ReminderFilterArrayAdapter,0.77457
v4,CC,ReminderListFragment,0.8645
v4,CC,ReminderMainActivity,0.70336
v4,CC,SpinnerAdapterGenerator,0.53333
v4,CC,TimePickerDialogFragment,0.53333
v4,CC,Utility,0.53333
v1,DOP,dController,0.56234
v1,DOP,dCreateController,0.74707
v1,DOP,dCreateFixedDateGUI,0.5625
v1,DOP,dCreateGUI,0.20184
v1,DOP,dCreateModel,0.74822
v1,DOP,dDeleteController,0.74707
v1,DOP,dDeleteModel,0.74914
v1,DOP,dDoneGUI,0.56144
v1,DOP,dDoneModel,0.74962
v1,DOP,dEditController,0.74707
v1,DOP,dEditGUI,0.0
v1,DOP,dEditModel,0.74893
v1,DOP,dFixedDateGUI,0.6294
v1,DOP,dFixedDateModel,0.74992
v1,DOP,dFixedDateUtil,0.53833
v1,DOP,dGUI,0.5625
v1,DOP,dModel,0.56249
v1,DOP,dPersistence,0.56249
v1,DOP,dReminder,0.56223
v1,DOP,dUtil,0.56242
v1,DOP,dViewController,0.74985
v1,DOP,dViewFixedDateGUI,0.74993
v1,DOP,dViewGUI,0.55556
v1,DOP,dViewModel,0.74914
v2,DOP,dController,0.54982
v2,DOP,dCreateController,0.73047
v2,DOP,dCreateFixedDateGUI,0.55
v2,DOP,dCreateGUI,0.1923
v2,DOP,dCreateModel,0.73159
v2,DOP,dDeleteController,0.73047
v2,DOP,dDeleteModel,0.73249
v2,DOP,dDoneGUI,0.54896
v2,DOP,dDoneModel,0.73296
v2,DOP,dEditController,0.73047
v2,DOP,dEditGUI,0.0
v2,DOP,dEditModel,0.73229
v2,DOP,dFixedDateGUI,0.61607
v2,DOP,dFixedDateModel,0.73326
v2,DOP,dFixedDateUtil,0.52637
v2,DOP,dGUI,0.55
v2,DOP,dManageCategoryController,0.70909
v2,DOP,dManageCategoryGUI,0.59345
v2,DOP,dManageCategoryModel,0.70074
v2,DOP,dModel,0.54999
v2,DOP,dPersistence,0.54999
v2,DOP,dReminder,0.54974
v2,DOP,dStaticCategoryController,0.70909
v2,DOP,dStaticCategoryGUI,0.63126
