Release,Technique,ModuleName,Feature,LOC
v3,DOP,dController,reminder,57
v3,DOP,dController,manageReminder,55
v3,DOP,dCreateController,create,12
v3,DOP,dCreateController,reminder,10
v3,DOP,dCreateController,manageReminder,10
v3,DOP,dCreateDateRangeFixedDateGUI,create,26
v3,DOP,dCreateDateRangeFixedDateGUI,dateRange,26
v3,DOP,dCreateDateRangeFixedDateGUI,fixedDate,26
v3,DOP,dCreateGUI,create,252
v3,DOP,dCreateGUI,gui,27
v3,DOP,dCreateModel,create,15
v3,DOP,dCreateModel,reminder,13
v3,DOP,dCreateModel,manageReminder,13
v3,DOP,dDateRangeFixedDateGUI,dateRange,94
v3,DOP,dDateRangeFixedDateGUI,fixedDate,94
v3,DOP,dDateRangeFixedDateGUI,reminder,44
v3,DOP,dDateRangeFixedDateGUI,manageReminder,44
v3,DOP,dDateRangeFixedDateUtil,dateRange,22
v3,DOP,dDateRangeFixedDateUtil,fixedDate,22
v3,DOP,dDateRangeFixedDateUtil,reminder,5
v3,DOP,dDateRangeFixedDateUtil,manageReminder,5
v3,DOP,dDateRangeGUI,dateRange,410
v3,DOP,dDateRangeGUI,create,65
v3,DOP,dDateRangeGUI,gui,326
v3,DOP,dDateRangeGUI,edit,17
v3,DOP,dDateRangeModel,dateRange,101
v3,DOP,dDateRangeModel,reminder,99
v3,DOP,dDateRangeModel,manageReminder,99
v3,DOP,dDeleteController,delete,12
v3,DOP,dDeleteController,reminder,10
v3,DOP,dDeleteController,manageReminder,10
v3,DOP,dDeleteModel,delete,21
v3,DOP,dDeleteModel,reminder,19
v3,DOP,dDeleteModel,manageReminder,19
v3,DOP,dDoneGUI,done,24
v3,DOP,dDoneGUI,gui,22
v3,DOP,dDoneModel,done,31
v3,DOP,dDoneModel,reminder,29
v3,DOP,dDoneModel,manageReminder,29
v3,DOP,dEditController,edit,12
v3,DOP,dEditController,reminder,10
v3,DOP,dEditController,manageReminder,10
v3,DOP,dEditGUI,edit,36
v3,DOP,dEditModel,edit,19
v3,DOP,dEditModel,reminder,17
v3,DOP,dEditModel,manageReminder,17
v3,DOP,dFixedDateGUI,fixedDate,353
v3,DOP,dFixedDateGUI,create,43
v3,DOP,dFixedDateGUI,gui,249
v3,DOP,dFixedDateGUI,edit,11
v3,DOP,dFixedDateModel,fixedDate,69
v3,DOP,dFixedDateModel,reminder,67
v3,DOP,dFixedDateModel,manageReminder,67
v3,DOP,dGoogleCalendarCalendar,googleCalendar,80
v3,DOP,dGoogleCalendarDateRangeCalendar,googleCalendar,32
v3,DOP,dGoogleCalendarDateRangeCalendar,dateRange,32
v3,DOP,dGoogleCalendarGUI,googleCalendar,29
v3,DOP,dGoogleCalendarGUI,gui,27
v3,DOP,dGoogleCalendarModel,googleCalendar,11
v3,DOP,dGUI,reminder,364
v3,DOP,dGUI,gui,362
v3,DOP,dManageCategoryController,manageCategory,65
v3,DOP,dManageCategoryController,reminder,39
v3,DOP,dManageCategoryController,manageReminder,39
v3,DOP,dManageCategoryGUI,manageCategory,366
v3,DOP,dManageCategoryGUI,create,74
v3,DOP,dManageCategoryGUI,staticCategory,49
v3,DOP,dManageCategoryGUI,gui,58
v3,DOP,dManageCategoryGUI,edit,18
v3,DOP,dManageCategoryModel,manageCategory,65
v3,DOP,dManageCategoryModel,staticCategory,51
v3,DOP,dManageCategoryModel,reminder,12
v3,DOP,dManageCategoryModel,manageReminder,12
v3,DOP,dManageCategoryPriorityGUI,manageCategory,40
v3,DOP,dManageCategoryPriorityGUI,priority,40
v3,DOP,dManageCategoryPriorityGUI,staticCategory,38
v3,DOP,dModel,reminder,309
v3,DOP,dModel,manageReminder,307
v3,DOP,dPersistence,reminder,195
v3,DOP,dPersistence,manageReminder,193
v3,DOP,dPriorityController,priority,23
v3,DOP,dPriorityGUI,priority,270
v3,DOP,dPriorityGUI,gui,86
v3,DOP,dPriorityGUI,edit,9
v3,DOP,dPriorityGUI,create,69
v3,DOP,dPriorityModel,priority,56
v3,DOP,dPriorityModel,reminder,27
v3,DOP,dPriorityModel,manageReminder,27
v3,DOP,dPriorityReminder,priority,14
v3,DOP,dPriorityReminder,reminder,12
v3,DOP,dPriorityReminder,manageReminder,12
v3,DOP,dReminder,reminder,49
v3,DOP,dReminder,manageReminder,47
v3,DOP,dSearchController,search,18
v3,DOP,dSearchController,reminder,16
v3,DOP,dSearchController,manageReminder,16
v3,DOP,dSearchDateRangeGUI,search,77
v3,DOP,dSearchDateRangeGUI,dateRange,77
v3,DOP,dSearchDateRangeGUI,gui,75
v3,DOP,dSearchGUI,search,74
v3,DOP,dSearchGUI,gui,72
v3,DOP,dSearchReminder,search,37
v3,DOP,dSearchReminder,reminder,35
v3,DOP,dSearchReminder,manageReminder,35
v3,DOP,dStaticCategoryController,staticCategory,65
v3,DOP,dStaticCategoryController,reminder,39
v3,DOP,dStaticCategoryController,manageReminder,39
v3,DOP,dStaticCategoryGUI,staticCategory,435
v3,DOP,dStaticCategoryGUI,edit,49
v3,DOP,dStaticCategoryGUI,create,153
v3,DOP,dStaticCategoryGUI,gui,87
v3,DOP,dStaticCategoryModel,staticCategory,308
v3,DOP,dStaticCategoryModel,reminder,144
v3,DOP,dStaticCategoryModel,manageReminder,144
v3,DOP,dStaticCategoryPersistence,staticCategory,68
v3,DOP,dStaticCategoryPersistence,reminder,66
v3,DOP,dStaticCategoryPersistence,manageReminder,66
v3,DOP,dStaticCategoryPriorityGUI,staticCategory,16
v3,DOP,dStaticCategoryPriorityGUI,priority,16
v3,DOP,dStaticCategoryReminder,staticCategory,14
v3,DOP,dStaticCategoryReminder,reminder,12
v3,DOP,dStaticCategoryReminder,manageReminder,12
v3,DOP,dUtil,reminder,85
v3,DOP,dUtil,manageReminder,83
v3,DOP,dViewController,view,48
v3,DOP,dViewController,reminder,46
v3,DOP,dViewController,manageReminder,46
v3,DOP,dViewDateRangeGUI,view,62
v3,DOP,dViewDateRangeGUI,dateRange,62
v3,DOP,dViewDateRangeGUI,gui,60
v3,DOP,dViewFixedDateGUI,view,68
v3,DOP,dViewFixedDateGUI,fixedDate,68
v3,DOP,dViewFixedDateGUI,gui,66
v3,DOP,dViewGUI,view,20
v3,DOP,dViewGUI,gui,18
v3,DOP,dViewModel,view,21
v3,DOP,dViewModel,reminder,19
v3,DOP,dViewModel,manageReminder,19
v4,DOP,dController,reminder,57
v4,DOP,dController,manageReminder,55
v4,DOP,dCreateController,create,12
v4,DOP,dCreateController,reminder,10
v4,DOP,dCreateController,manageReminder,10
v4,DOP,dCreateGUI,create,276
v4,DOP,dCreateGUI,gui,27
v4,DOP,dCreateModel,create,15
v4,DOP,dCreateModel,reminder,13
v4,DOP,dCreateModel,manageReminder,13
v4,DOP,dDateRangeFixedDateGUI,dateRange,67
v4,DOP,dDateRangeFixedDateGUI,fixedDate,67
v4,DOP,dDateRangeFixedDateGUI,reminder,17
v4,DOP,dDateRangeFixedDateGUI,manageReminder,17
v4,DOP,dDateRangeFixedDateUtil,dateRange,21
v4,DOP,dDateRangeFixedDateUtil,fixedDate,21
v4,DOP,dDateRangeFixedDateUtil,reminder,4
v4,DOP,dDateRangeFixedDateUtil,manageReminder,4
v4,DOP,dDateRangeGUI,dateRange,430
v4,DOP,dDateRangeGUI,create,65
v4,DOP,dDateRangeGUI,gui,346
v4,DOP,dDateRangeGUI,edit,17
v4,DOP,dDateRangeModel,dateRange,101
v4,DOP,dDateRangeModel,reminder,99
v4,DOP,dDateRangeModel,manageReminder,99
v4,DOP,dDateRepeatFixedDateGUI,dateRepeat,144
v4,DOP,dDateRepeatFixedDateGUI,fixedDate,144
v4,DOP,dDateRepeatFixedDateGUI,edit,8
v4,DOP,dDateRepeatFixedDateGUI,create,33
v4,DOP,dDateRepeatFixedDateGUI,gui,101
v4,DOP,dDateRepeatFixedDateModel,dateRepeat,49
v4,DOP,dDateRepeatFixedDateModel,fixedDate,49
v4,DOP,dDateRepeatFixedDateModel,reminder,47
v4,DOP,dDateRepeatFixedDateModel,manageReminder,47
v4,DOP,dDateRepeatGUI,dateRepeat,230
v4,DOP,dDateRepeatGUI,create,100
v4,DOP,dDateRepeatGUI,gui,99
v4,DOP,dDateRepeatGUI,edit,29
v4,DOP,dDateRepeatModel,dateRepeat,162
v4,DOP,dDateRepeatModel,reminder,151
v4,DOP,dDateRepeatModel,manageReminder,151
v4,DOP,dDeleteController,delete,12
v4,DOP,dDeleteController,reminder,10
v4,DOP,dDeleteController,manageReminder,10
v4,DOP,dDeleteModel,delete,21
v4,DOP,dDeleteModel,reminder,19
v4,DOP,dDeleteModel,manageReminder,19
v4,DOP,dDoneGUI,done,24
v4,DOP,dDoneGUI,gui,22
v4,DOP,dDoneModel,done,31
v4,DOP,dDoneModel,reminder,29
v4,DOP,dDoneModel,manageReminder,29
v4,DOP,dEditController,edit,12
v4,DOP,dEditController,reminder,10
v4,DOP,dEditController,manageReminder,10
v4,DOP,dEditGUI,edit,36
v4,DOP,dEditModel,edit,19
v4,DOP,dEditModel,reminder,17
v4,DOP,dEditModel,manageReminder,17
v4,DOP,dFixedDateGUI,fixedDate,259
v4,DOP,dFixedDateGUI,create,33
v4,DOP,dFixedDateGUI,gui,168
v4,DOP,dFixedDateGUI,edit,8
v4,DOP,dFixedDateModel,fixedDate,43
v4,DOP,dFixedDateModel,reminder,41
v4,DOP,dFixedDateModel,manageReminder,41
v4,DOP,dGoogleCalendarCalendar,googleCalendar,80
v4,DOP,dGoogleCalendarDateRangeCalendar,googleCalendar,32
v4,DOP,dGoogleCalendarDateRangeCalendar,dateRange,32
v4,DOP,dGoogleCalendarGUI,googleCalendar,29
v4,DOP,dGoogleCalendarGUI,gui,27
v4,DOP,dGoogleCalendarModel,googleCalendar,11
v4,DOP,dGUI,reminder,375
v4,DOP,dGUI,gui,373
v4,DOP,dManageCategoryController,manageCategory,65
v4,DOP,dManageCategoryController,reminder,39
v4,DOP,dManageCategoryController,manageReminder,39
v4,DOP,dManageCategoryGUI,manageCategory,377
v4,DOP,dManageCategoryGUI,create,74
v4,DOP,dManageCategoryGUI,staticCategory,60
