Authors	Title	Year	Cited by	Link	EID
"Frohner Á., Porkoláb Z., Varga L."	Code generation from UML models	2000		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034580713&partnerID=40&md5=123dc891cce97d8b8387b65747cd8783	2-s2.0-0034580713
"Kiczales G., Hilsdale E."	Aspect-oriented programming	2001	31	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035783978&partnerID=40&md5=260d3c0a2eed31e64395c2dbcebf5dd5	2-s2.0-0035783978
"Coady Y., Kiczales G., Feeley M., Hutchinson N., Ong J.S., Gudmundson S."	Aspect-oriented system structure	2001	3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035703524&partnerID=40&md5=96edaf77307f18615bd446f5790d2f5f	2-s2.0-0035703524
"Avdičaušević E., Lenič M., Mernik M., Žumer V."	AspectCOOL: An experiment in design and implementation of aspect-oriented language	2001	11	https://www.scopus.com/inward/record.uri?eid=2-s2.0-5444252045&partnerID=40&md5=424ce91f8feabe2f69be242ca7594061	2-s2.0-5444252045
"Duggan D., Techaubol C.-C."	Modular mixin-based inheritance for application frameworks	2001	11	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035551974&partnerID=40&md5=ed4ec574f849dbb4505cde7ea6bdd75c	2-s2.0-0035551974
"Denaro G., Monga M."	An Experience on Verification of Aspect Properties	2001	18	https://www.scopus.com/inward/record.uri?eid=2-s2.0-1442327869&partnerID=40&md5=26c4f08f0dfb3e78835f986c3338a0ce	2-s2.0-1442327869
"Thai J., Pekilis B., Lau A., Seviora R."	Aspect-oriented implementation of software health indicators	2001	8	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035690004&partnerID=40&md5=a1d59f5907795ed3ad527d9a7f887be3	2-s2.0-0035690004
"Dolog P., Vranić V., Bieliková M."	Representing change by aspect	2001	5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-17644397882&partnerID=40&md5=875ab4717a4fef5f8c2e1395fa272601	2-s2.0-17644397882
"Geihs K., Becker C."	A framework for re-use and maintenance of quality of service mechanisms in distributed object systems	2001	5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-35248887987&doi=10.1109%2fICSM.2001.972760&partnerID=40&md5=bcce4db2c39915f58f88f06bd1fb814a	2-s2.0-35248887987
"Coady Y., Kiczales G., Feeley M., Smolyn G."	Using aspectC to improve the modularity of path-specific customization in operating system code	2001	73	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035783965&partnerID=40&md5=33eb917c3cd0873c7593783139895c28	2-s2.0-0035783965
Rashid A.	A database evolution approach for object-oriented databases	2001	6	https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956612791&doi=10.1109%2fICSM.2001.972772&partnerID=40&md5=a3be8a758663a87d518cd1a798a2f811	2-s2.0-77956612791
"Fisler K., Krishnamurthi S."	Modular verification of collaboration-based software designs	2001	50	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035783999&partnerID=40&md5=0b2d30f3a27f3108adbddad897d0c6f9	2-s2.0-0035783999
"Kiczales G., Hilsdale E., Hugunin J., Kersten M., Palm J., Griswold W.G."	An overview of AspectJ	2001	840	https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955230066&partnerID=40&md5=7d9cc7bcdaac549e38cb7a4a27978e5a	2-s2.0-82955230066
"Kumar A.M.V.N., Singh A.K., Babu S. R."	A security assurance framework for component based software development	2001		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035520592&partnerID=40&md5=d055aa9108be32c3cb0025ec6f1a7322	2-s2.0-0035520592
"Juric M.B., Rozman I., Deugo D."	Component based software development	2001		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035520425&partnerID=40&md5=d8ecebc7d9c13ca0e28104d900530e75	2-s2.0-0035520425
